Date,Open,High,Low,Close,Volume
2018/08/11 14:50:30,10953,10953,10953,10953,2
2018/08/11 14:55:00,10953,10964,10952,10958,498
2018/08/11 15:00:00,10958,10958,10952,10953,1543
2018/08/11 15:05:00,10954,10962,10949,10960,1060
2018/08/11 15:10:00,10960,10960,10955,10958,369
2018/08/11 15:15:01,10958,10960,10956,10957,137
2018/08/11 15:20:00,10957,10966,10957,10965,401
2018/08/11 15:25:03,10965,10966,10963,10966,183
2018/08/11 15:30:03,10966,10970,10963,10969,326
2018/08/11 15:35:04,10969,10971,10967,10969,349
2018/08/11 15:40:03,10969,10971,10968,10969,201
2018/08/11 15:45:00,10968,10968,10966,10966,134
2018/08/11 15:50:01,10966,10967,10961,10962,433
2018/08/11 15:55:24,10962,10963,10960,10962,274
2018/08/11 16:00:06,10961,10966,10961,10963,204
2018/08/11 16:05:00,10964,10967,10963,10966,139
2018/08/11 16:10:08,10966,10966,10963,10963,172
2018/08/11 16:15:30,10962,10966,10962,10965,64
2018/08/11 16:20:06,10965,10966,10963,10965,49
2018/08/11 16:30:05,10966,10966,10964,10965,139
2018/08/11 16:35:12,10965,10968,10964,10968,114
2018/08/11 16:40:00,10967,10968,10966,10967,72
2018/08/11 16:45:07,10966,10966,10965,10965,35
2018/08/11 16:50:03,10965,10965,10963,10964,51
2018/08/11 16:55:14,10964,10964,10962,10963,101
2018/08/11 17:00:02,10964,10964,10964,10964,12
2018/08/11 17:05:06,10964,10966,10964,10966,68
2018/08/11 17:10:19,10966,10967,10966,10966,46
2018/08/11 17:15:06,10965,10968,10965,10968,215
2018/08/11 17:20:06,10968,10970,10967,10969,258
2018/08/11 17:25:02,10969,10969,10965,10965,173
2018/08/11 17:30:17,10964,10965,10963,10964,143
2018/08/11 17:35:45,10964,10966,10964,10966,50
2018/08/11 17:40:00,10966,10966,10964,10964,69
2018/08/11 17:45:00,10964,10964,10962,10962,169
2018/08/11 17:50:22,10962,10963,10961,10962,113
2018/08/11 17:55:04,10963,10963,10962,10962,161
2018/08/11 18:00:00,10962,10962,10958,10959,332
2018/08/11 18:05:02,10958,10961,10958,10961,83
2018/08/11 18:10:14,10961,10963,10960,10962,56
2018/08/11 18:20:01,10962,10964,10962,10963,48
2018/08/11 18:25:03,10963,10965,10962,10965,79
2018/08/11 18:30:40,10964,10965,10964,10964,15
2018/08/11 18:35:16,10964,10965,10964,10964,13
2018/08/11 18:40:15,10965,10965,10964,10965,10
2018/08/11 18:45:02,10965,10966,10964,10966,63
2018/08/11 18:50:03,10966,10966,10965,10965,32
2018/08/11 18:55:08,10965,10967,10965,10965,130
2018/08/11 19:00:23,10965,10966,10964,10966,29
2018/08/11 19:05:00,10966,10966,10963,10964,33
2018/08/11 19:10:03,10964,10965,10962,10962,41
2018/08/11 19:15:44,10963,10964,10962,10964,17
2018/08/11 19:20:20,10964,10964,10963,10964,11
2018/08/11 19:25:14,10964,10964,10963,10964,17
2018/08/11 19:30:29,10964,10964,10963,10964,59
2018/08/11 19:35:02,10964,10964,10963,10964,58
2018/08/11 19:45:25,10965,10965,10962,10962,24
2018/08/11 19:50:23,10962,10964,10961,10961,52
2018/08/11 19:55:47,10962,10962,10961,10962,36
2018/08/11 20:00:01,10962,10962,10960,10960,88
2018/08/11 20:05:08,10961,10961,10958,10958,214
2018/08/11 20:10:03,10957,10959,10955,10956,255
2018/08/11 20:15:13,10956,10960,10955,10959,150
2018/08/11 20:20:11,10959,10960,10959,10959,48
2018/08/11 20:25:18,10960,10960,10957,10958,72
2018/08/11 20:30:00,10958,10958,10955,10956,127
2018/08/11 20:35:10,10956,10959,10956,10957,107
2018/08/11 20:40:12,10958,10960,10957,10960,62
2018/08/11 20:45:06,10960,10961,10954,10955,295
2018/08/11 20:50:02,10955,10956,10951,10952,350
2018/08/11 20:55:32,10952,10955,10951,10955,227
2018/08/11 21:00:09,10955,10955,10950,10951,321
2018/08/11 21:05:00,10951,10952,10944,10946,681
2018/08/11 21:10:08,10946,10949,10944,10948,434
2018/08/11 21:15:00,10949,10949,10944,10945,177
2018/08/11 21:20:00,10945,10945,10941,10942,399
2018/08/11 21:25:01,10942,10943,10941,10943,296
2018/08/11 21:30:02,10943,10946,10940,10941,381
2018/08/11 21:35:03,10941,10944,10938,10942,613
2018/08/11 00:00:10,10942,10942,10939,10940,103
2018/08/11 00:05:04,10934,10934,10930,10934,297
2018/08/11 00:10:21,10934,10936,10932,10933,76
2018/08/11 00:15:10,10933,10934,10932,10933,53
2018/08/11 00:20:26,10934,10935,10934,10934,44
2018/08/11 00:25:10,10934,10936,10934,10934,88
2018/08/11 00:30:02,10934,10934,10932,10933,90
2018/08/11 00:35:02,10933,10936,10933,10936,77
2018/08/11 00:45:04,10936,10937,10932,10932,188
2018/08/11 00:50:07,10932,10933,10931,10931,122
2018/08/11 00:55:05,10931,10931,10929,10931,213
2018/08/11 01:00:12,10931,10931,10929,10930,124
2018/08/11 01:05:03,10930,10930,10925,10926,259
2018/08/11 01:10:08,10926,10930,10926,10930,109
2018/08/11 01:15:18,10930,10932,10929,10929,74
2018/08/11 01:20:04,10929,10929,10924,10925,153
2018/08/11 01:25:51,10924,10930,10924,10929,117
2018/08/11 01:30:09,10928,10929,10927,10929,80
2018/08/11 01:35:13,10930,10931,10927,10930,83
2018/08/11 01:40:02,10928,10929,10926,10928,66
2018/08/11 01:45:01,10928,10928,10925,10925,130
2018/08/11 01:50:03,10926,10926,10923,10925,140
2018/08/11 01:55:04,10925,10926,10923,10923,70
2018/08/11 02:00:01,10923,10924,10921,10922,142
2018/08/11 02:05:25,10922,10925,10922,10922,62
2018/08/11 02:10:25,10922,10924,10920,10922,198
2018/08/11 02:15:13,10924,10929,10923,10926,175
2018/08/11 02:20:00,10927,10927,10925,10926,25
2018/08/11 02:25:10,10926,10928,10923,10923,104
2018/08/11 02:30:08,10924,10925,10921,10922,126
2018/08/11 02:35:07,10921,10924,10921,10923,58
2018/08/11 02:40:05,10922,10923,10920,10921,69
2018/08/11 02:45:03,10922,10923,10918,10923,221
2018/08/11 02:50:20,10923,10923,10921,10921,48
2018/08/11 02:55:02,10922,10925,10922,10924,62
2018/08/11 03:00:04,10924,10925,10923,10923,38
2018/08/11 03:05:28,10922,10923,10919,10921,135
2018/08/11 03:10:03,10921,10923,10920,10922,42
2018/08/11 03:15:01,10922,10924,10922,10923,66
2018/08/11 03:20:02,10923,10938,10923,10934,582
2018/08/11 03:25:00,10935,10938,10933,10933,170
2018/08/11 03:30:00,10935,10938,10933,10934,76
2018/08/11 03:35:15,10935,10937,10934,10934,56
2018/08/11 03:40:11,10934,10935,10932,10933,65
2018/08/11 03:45:08,10933,10933,10929,10930,100
2018/08/11 03:50:00,10930,10932,10928,10931,51
2018/08/11 03:55:05,10930,10933,10930,10932,105
2018/08/11 04:00:05,10933,10933,10931,10931,49
2018/08/11 04:05:00,10932,10937,10932,10936,117
2018/08/11 04:10:02,10936,10938,10936,10936,89
2018/08/11 04:15:03,10937,10937,10934,10935,35
2018/08/11 04:20:16,10935,10935,10933,10933,31
2018/08/11 04:25:03,10933,10934,10932,10932,31
2018/08/11 04:30:18,10932,10932,10931,10932,34
2018/08/11 04:35:29,10932,10933,10931,10931,63
2018/08/11 04:40:20,10931,10932,10931,10932,21
2018/08/11 04:45:57,10931,10932,10929,10930,100
2018/08/11 04:50:00,10930,10935,10929,10933,147
2018/08/11 04:55:07,10933,10935,10930,10930,113
